indicator,level,name,year,grp,estimate,moe,share,sharemoe
total_pop,4_towns,Hamden,2017,total_pop,61493,49,NA,NA
total_pop,4_towns,Madison,2017,total_pop,18247,20,NA,NA
total_pop,4_towns,Meriden,2017,total_pop,60241,33,NA,NA
total_pop,4_towns,Middlebury,2017,total_pop,7658,34,NA,NA
total_pop,4_towns,Milford,2017,total_pop,53867,29,NA,NA
total_pop,4_towns,Naugatuck,2017,total_pop,31649,41,NA,NA
total_pop,4_towns,New Haven,2017,total_pop,130884,56,NA,NA
total_pop,4_towns,North Branford,2017,total_pop,14275,33,NA,NA
total_pop,4_towns,North Haven,2017,total_pop,23877,28,NA,NA
total_pop,4_towns,Orange,2017,total_pop,13981,26,NA,NA
total_pop,4_towns,Oxford,2017,total_pop,12972,22,NA,NA
total_pop,4_towns,Prospect,2017,total_pop,9748,23,NA,NA
total_pop,4_towns,Seymour,2017,total_pop,16579,26,NA,NA
total_pop,4_towns,Southbury,2017,total_pop,19675,34,NA,NA
total_pop,4_towns,Wallingford,2017,total_pop,44991,31,NA,NA
total_pop,4_towns,Waterbury,2017,total_pop,109250,42,NA,NA
total_pop,4_towns,West Haven,2017,total_pop,55044,35,NA,NA
total_pop,4_towns,Wolcott,2017,total_pop,16696,31,NA,NA
total_pop,4_towns,Woodbridge,2017,total_pop,8907,24,NA,NA
total_pop,4_towns,Bozrah,2017,total_pop,2587,20,NA,NA
total_pop,4_towns,Colchester,2017,total_pop,16015,21,NA,NA
total_pop,4_towns,East Lyme,2017,total_pop,18883,64,NA,NA
total_pop,4_towns,Franklin,2017,total_pop,1908,97,NA,NA
total_pop,4_towns,Griswold,2017,total_pop,11791,20,NA,NA
total_pop,4_towns,Groton,2017,total_pop,39492,37,NA,NA
total_pop,4_towns,Lebanon,2017,total_pop,7242,17,NA,NA
total_pop,4_towns,Ledyard,2017,total_pop,14926,22,NA,NA
total_pop,4_towns,Lisbon,2017,total_pop,4300,16,NA,NA
total_pop,4_towns,Lyme,2017,total_pop,2423,99,NA,NA
total_pop,4_towns,Montville,2017,total_pop,19384,26,NA,NA
total_pop,4_towns,New London,2017,total_pop,27147,91,NA,NA
total_pop,4_towns,North Stonington,2017,total_pop,5255,19,NA,NA
total_pop,4_towns,Norwich,2017,total_pop,39875,46,NA,NA
total_pop,4_towns,Old Lyme,2017,total_pop,7494,22,NA,NA
total_pop,4_towns,Preston,2017,total_pop,4693,21,NA,NA
total_pop,4_towns,Salem,2017,total_pop,4162,50,NA,NA
total_pop,4_towns,Sprague,2017,total_pop,2942,19,NA,NA
total_pop,4_towns,Stonington,2017,total_pop,18483,23,NA,NA
total_pop,4_towns,Voluntown,2017,total_pop,2570,18,NA,NA
total_pop,4_towns,Waterford,2017,total_pop,19200,49,NA,NA
total_pop,4_towns,Andover,2017,total_pop,3179,133,NA,NA
total_pop,4_towns,Bolton,2017,total_pop,4947,26,NA,NA
total_pop,4_towns,Columbia,2017,total_pop,5442,23,NA,NA
total_pop,4_towns,Coventry,2017,total_pop,12458,47,NA,NA
total_pop,4_towns,Ellington,2017,total_pop,15948,33,NA,NA
total_pop,4_towns,Hebron,2017,total_pop,9550,19,NA,NA
total_pop,4_towns,Mansfield,2017,total_pop,26019,25,NA,NA
total_pop,4_towns,Somers,2017,total_pop,11284,20,NA,NA
total_pop,4_towns,Stafford,2017,total_pop,11901,28,NA,NA
total_pop,4_towns,Tolland,2017,total_pop,14838,39,NA,NA
total_pop,4_towns,Union,2017,total_pop,932,134,NA,NA
total_pop,4_towns,Vernon,2017,total_pop,29182,31,NA,NA
total_pop,4_towns,Willington,2017,total_pop,5916,45,NA,NA
total_pop,4_towns,Ashford,2017,total_pop,4254,25,NA,NA
total_pop,4_towns,Brooklyn,2017,total_pop,8232,20,NA,NA
total_pop,4_towns,Canterbury,2017,total_pop,5074,17,NA,NA
total_pop,4_towns,Chaplin,2017,total_pop,2365,149,NA,NA
total_pop,4_towns,Eastford,2017,total_pop,1639,117,NA,NA
total_pop,4_towns,Hampton,2017,total_pop,1829,114,NA,NA
total_pop,4_towns,Killingly,2017,total_pop,17160,20,NA,NA
total_pop,4_towns,Plainfield,2017,total_pop,15138,29,NA,NA
total_pop,4_towns,Pomfret,2017,total_pop,4184,36,NA,NA
total_pop,4_towns,Putnam,2017,total_pop,9395,21,NA,NA
total_pop,4_towns,Scotland,2017,total_pop,1691,142,NA,NA
total_pop,4_towns,Sterling,2017,total_pop,3748,16,NA,NA
total_pop,4_towns,Thompson,2017,total_pop,9299,26,NA,NA
total_pop,4_towns,Windham,2017,total_pop,24839,28,NA,NA
total_pop,4_towns,Woodstock,2017,total_pop,7827,21,NA,NA
age,1_state,Connecticut,2017,total_pop,3594478,0,NA,NA
age,1_state,Connecticut,2017,ages0_17,762732,3489,0.212,0.001
age,1_state,Connecticut,2017,ages65plus,575757,3788,0.16,0.001
age,2_counties,Fairfield County,2017,total_pop,947328,0,NA,NA
age,2_counties,Fairfield County,2017,ages0_17,219635,1673,0.232,0.002
age,2_counties,Fairfield County,2017,ages65plus,140926,1940,0.149,0.002
age,2_counties,Hartford County,2017,total_pop,897417,0,NA,NA
age,2_counties,Hartford County,2017,ages0_17,192330,1651,0.214,0.002
age,2_counties,Hartford County,2017,ages65plus,145001,1847,0.162,0.002
age,2_counties,Litchfield County,2017,total_pop,184454,0,NA,NA
age,2_counties,Litchfield County,2017,ages0_17,35214,705,0.191,0.004
age,2_counties,Litchfield County,2017,ages65plus,35388,851,0.192,0.005
age,2_counties,Middlesex County,2017,total_pop,164110,0,NA,NA
age,2_counties,Middlesex County,2017,ages0_17,30873,643,0.188,0.004
age,2_counties,Middlesex County,2017,ages65plus,30196,884,0.184,0.005
age,2_counties,New Haven County,2017,total_pop,862127,0,NA,NA
age,2_counties,New Haven County,2017,ages0_17,179259,1815,0.208,0.002
age,2_counties,New Haven County,2017,ages65plus,139534,1883,0.162,0.002
age,2_counties,New London County,2017,total_pop,270772,0,NA,NA
age,2_counties,New London County,2017,ages0_17,54152,892,0.2,0.003
age,2_counties,New London County,2017,ages65plus,45184,1027,0.167,0.004
age,2_counties,Tolland County,2017,total_pop,151596,0,NA,NA
age,2_counties,Tolland County,2017,ages0_17,27504,691,0.181,0.005
age,2_counties,Tolland County,2017,ages65plus,21751,737,0.143,0.005
age,2_counties,Windham County,2017,total_pop,116674,0,NA,NA
age,2_counties,Windham County,2017,ages0_17,23765,698,0.204,0.006
age,2_counties,Windham County,2017,ages65plus,17777,695,0.152,0.006
age,3_regions,Greater Bridgeport,2017,total_pop,325554,98,NA,NA
age,3_regions,Greater Bridgeport,2017,ages0_17,75100,1670,0.231,0.005
age,3_regions,Greater Bridgeport,2017,ages65plus,46677,1294,0.143,0.004
age,3_regions,Greater New Haven,2017,total_pop,465633,122,NA,NA
age,3_regions,Greater New Haven,2017,ages0_17,93991,2184,0.202,0.005
age,3_regions,Greater New Haven,2017,ages65plus,74822,1670,0.161,0.004
age,3_regions,Greater Waterbury,2017,total_pop,335631,323,NA,NA
age,3_regions,Greater Waterbury,2017,ages0_17,74532,1932,0.222,0.006
age,3_regions,Greater Waterbury,2017,ages65plus,55728,1394,0.166,0.004
age,3_regions,Lower Naugatuck Valley,2017,total_pop,140243,71,NA,NA
age,3_regions,Lower Naugatuck Valley,2017,ages0_17,30576,1423,0.218,0.01
age,3_regions,Lower Naugatuck Valley,2017,ages65plus,23149,984,0.165,0.007
age,4_towns,Andover,2017,total_pop,3179,133,NA,NA
age,4_towns,Andover,2017,ages0_17,652,142,0.205,0.044
age,4_towns,Andover,2017,ages65plus,392,89,0.123,0.028
age,4_towns,Ansonia,2017,total_pop,18953,27,NA,NA
age,4_towns,Ansonia,2017,ages0_17,4377,627,0.231,0.033
age,4_towns,Ansonia,2017,ages65plus,2803,336,0.148,0.018
age,4_towns,Ashford,2017,total_pop,4254,25,NA,NA
age,4_towns,Ashford,2017,ages0_17,825,175,0.194,0.041
age,4_towns,Ashford,2017,ages65plus,627,122,0.147,0.029
age,4_towns,Avon,2017,total_pop,18381,27,NA,NA
age,4_towns,Avon,2017,ages0_17,4485,434,0.244,0.024
age,4_towns,Avon,2017,ages65plus,3574,371,0.194,0.02
age,4_towns,Barkhamsted,2017,total_pop,3693,17,NA,NA
age,4_towns,Barkhamsted,2017,ages0_17,809,155,0.219,0.042
age,4_towns,Barkhamsted,2017,ages65plus,607,120,0.164,0.032
age,4_towns,Beacon Falls,2017,total_pop,6108,18,NA,NA
age,4_towns,Beacon Falls,2017,ages0_17,1483,290,0.243,0.047
age,4_towns,Beacon Falls,2017,ages65plus,902,213,0.148,0.035
age,4_towns,Berlin,2017,total_pop,20584,23,NA,NA
age,4_towns,Berlin,2017,ages0_17,4078,471,0.198,0.023
age,4_towns,Berlin,2017,ages65plus,4368,449,0.212,0.022
age,4_towns,Bethany,2017,total_pop,5526,19,NA,NA
age,4_towns,Bethany,2017,ages0_17,1181,234,0.214,0.042
age,4_towns,Bethany,2017,ages65plus,922,183,0.167,0.033
age,4_towns,Bethel,2017,total_pop,19526,44,NA,NA
age,4_towns,Bethel,2017,ages0_17,4338,440,0.222,0.023
age,4_towns,Bethel,2017,ages65plus,2870,303,0.147,0.016
age,4_towns,Bethlehem,2017,total_pop,3490,25,NA,NA
age,4_towns,Bethlehem,2017,ages0_17,713,122,0.204,0.035
age,4_towns,Bethlehem,2017,ages65plus,578,99,0.166,0.028
age,4_towns,Bloomfield,2017,total_pop,20848,27,NA,NA
age,4_towns,Bloomfield,2017,ages0_17,2974,396,0.143,0.019
age,4_towns,Bloomfield,2017,ages65plus,5436,472,0.261,0.023
age,4_towns,Bolton,2017,total_pop,4947,26,NA,NA
age,4_towns,Bolton,2017,ages0_17,1034,184,0.209,0.037
age,4_towns,Bolton,2017,ages65plus,921,142,0.186,0.029
age,4_towns,Bozrah,2017,total_pop,2587,20,NA,NA
age,4_towns,Bozrah,2017,ages0_17,427,84,0.165,0.032
age,4_towns,Bozrah,2017,ages65plus,496,85,0.192,0.033
age,4_towns,Branford,2017,total_pop,28149,36,NA,NA
age,4_towns,Branford,2017,ages0_17,4607,491,0.164,0.017
age,4_towns,Branford,2017,ages65plus,6044,465,0.215,0.017
age,4_towns,Bridgeport,2017,total_pop,147586,53,NA,NA
age,4_towns,Bridgeport,2017,ages0_17,34994,1093,0.237,0.007
age,4_towns,Bridgeport,2017,ages65plus,15757,806,0.107,0.005
age,4_towns,Bridgewater,2017,total_pop,1681,116,NA,NA
age,4_towns,Bridgewater,2017,ages0_17,227,47,0.135,0.026
age,4_towns,Bridgewater,2017,ages65plus,488,64,0.29,0.032
age,4_towns,Bristol,2017,total_pop,60498,55,NA,NA
age,4_towns,Bristol,2017,ages0_17,12395,766,0.205,0.013
age,4_towns,Bristol,2017,ages65plus,9590,609,0.159,0.01
age,4_towns,Brookfield,2017,total_pop,17064,34,NA,NA
age,4_towns,Brookfield,2017,ages0_17,4110,396,0.241,0.023
age,4_towns,Brookfield,2017,ages65plus,2821,327,0.165,0.019
age,4_towns,Brooklyn,2017,total_pop,8232,20,NA,NA
age,4_towns,Brooklyn,2017,ages0_17,1701,354,0.207,0.043
age,4_towns,Brooklyn,2017,ages65plus,1473,251,0.179,0.03
age,4_towns,Burlington,2017,total_pop,9598,35,NA,NA
age,4_towns,Burlington,2017,ages0_17,2316,244,0.241,0.025
age,4_towns,Burlington,2017,ages65plus,1315,184,0.137,0.019
age,4_towns,Canaan,2017,total_pop,1128,133,NA,NA
age,4_towns,Canaan,2017,ages0_17,170,44,0.151,0.035
age,4_towns,Canaan,2017,ages65plus,274,57,0.243,0.042
age,4_towns,Canterbury,2017,total_pop,5074,17,NA,NA
age,4_towns,Canterbury,2017,ages0_17,1160,215,0.229,0.042
age,4_towns,Canterbury,2017,ages65plus,822,137,0.162,0.027
age,4_towns,Canton,2017,total_pop,10339,26,NA,NA
age,4_towns,Canton,2017,ages0_17,2190,325,0.212,0.031
age,4_towns,Canton,2017,ages65plus,1928,273,0.186,0.026
age,4_towns,Chaplin,2017,total_pop,2365,149,NA,NA
age,4_towns,Chaplin,2017,ages0_17,461,114,0.195,0.047
age,4_towns,Chaplin,2017,ages65plus,356,76,0.151,0.031
age,4_towns,Cheshire,2017,total_pop,29274,29,NA,NA
age,4_towns,Cheshire,2017,ages0_17,5514,468,0.188,0.016
age,4_towns,Cheshire,2017,ages65plus,5075,412,0.173,0.014
age,4_towns,Chester,2017,total_pop,4286,21,NA,NA
age,4_towns,Chester,2017,ages0_17,769,187,0.179,0.044
age,4_towns,Chester,2017,ages65plus,1053,184,0.246,0.043
age,4_towns,Clinton,2017,total_pop,13041,27,NA,NA
age,4_towns,Clinton,2017,ages0_17,2612,285,0.2,0.022
age,4_towns,Clinton,2017,ages65plus,2447,239,0.188,0.018
age,4_towns,Colchester,2017,total_pop,16015,21,NA,NA
age,4_towns,Colchester,2017,ages0_17,3787,403,0.236,0.025
age,4_towns,Colchester,2017,ages65plus,2046,235,0.128,0.015
age,4_towns,Colebrook,2017,total_pop,1471,150,NA,NA
age,4_towns,Colebrook,2017,ages0_17,272,62,0.185,0.038
age,4_towns,Colebrook,2017,ages65plus,172,37,0.117,0.022
age,4_towns,Columbia,2017,total_pop,5442,23,NA,NA
age,4_towns,Columbia,2017,ages0_17,1079,272,0.198,0.05
age,4_towns,Columbia,2017,ages65plus,1033,200,0.19,0.037
age,4_towns,Cornwall,2017,total_pop,1364,151,NA,NA
age,4_towns,Cornwall,2017,ages0_17,309,70,0.227,0.045
age,4_towns,Cornwall,2017,ages65plus,344,49,0.252,0.023
age,4_towns,Coventry,2017,total_pop,12458,47,NA,NA
age,4_towns,Coventry,2017,ages0_17,2566,353,0.206,0.028
age,4_towns,Coventry,2017,ages65plus,1853,257,0.149,0.021
age,4_towns,Cromwell,2017,total_pop,14021,23,NA,NA
age,4_towns,Cromwell,2017,ages0_17,2885,365,0.206,0.026
age,4_towns,Cromwell,2017,ages65plus,2618,297,0.187,0.021
age,4_towns,Danbury,2017,total_pop,84573,38,NA,NA
age,4_towns,Danbury,2017,ages0_17,17989,1055,0.213,0.012
age,4_towns,Danbury,2017,ages65plus,11348,698,0.134,0.008
age,4_towns,Darien,2017,total_pop,21742,38,NA,NA
age,4_towns,Darien,2017,ages0_17,7071,423,0.325,0.019
age,4_towns,Darien,2017,ages65plus,2606,256,0.12,0.012
age,4_towns,Deep River,2017,total_pop,4547,47,NA,NA
age,4_towns,Deep River,2017,ages0_17,978,175,0.215,0.038
age,4_towns,Deep River,2017,ages65plus,877,131,0.193,0.029
age,4_towns,Derby,2017,total_pop,12700,21,NA,NA
age,4_towns,Derby,2017,ages0_17,2866,513,0.226,0.04
age,4_towns,Derby,2017,ages65plus,1924,288,0.151,0.023
age,4_towns,Durham,2017,total_pop,7292,20,NA,NA
age,4_towns,Durham,2017,ages0_17,1474,266,0.202,0.036
age,4_towns,Durham,2017,ages65plus,1224,212,0.168,0.029
age,4_towns,East Granby,2017,total_pop,5220,141,NA,NA
age,4_towns,East Granby,2017,ages0_17,1252,242,0.24,0.046
age,4_towns,East Granby,2017,ages65plus,854,189,0.164,0.036
age,4_towns,East Haddam,2017,total_pop,9072,32,NA,NA
age,4_towns,East Haddam,2017,ages0_17,1708,245,0.188,0.027
age,4_towns,East Haddam,2017,ages65plus,1500,245,0.165,0.027
age,4_towns,East Hampton,2017,total_pop,12890,33,NA,NA
age,4_towns,East Hampton,2017,ages0_17,2716,348,0.211,0.027
age,4_towns,East Hampton,2017,ages65plus,1965,265,0.152,0.021
age,4_towns,East Hartford,2017,total_pop,50812,37,NA,NA
age,4_towns,East Hartford,2017,ages0_17,11258,792,0.222,0.016
age,4_towns,East Hartford,2017,ages65plus,7264,464,0.143,0.009
age,4_towns,East Haven,2017,total_pop,29006,29,NA,NA
age,4_towns,East Haven,2017,ages0_17,5459,595,0.188,0.021
age,4_towns,East Haven,2017,ages65plus,5439,454,0.188,0.016
age,4_towns,East Lyme,2017,total_pop,18883,64,NA,NA
age,4_towns,East Lyme,2017,ages0_17,3338,344,0.177,0.018
age,4_towns,East Lyme,2017,ages65plus,4144,280,0.219,0.015
age,4_towns,East Windsor,2017,total_pop,11409,32,NA,NA
age,4_towns,East Windsor,2017,ages0_17,2075,372,0.182,0.033
age,4_towns,East Windsor,2017,ages65plus,1895,268,0.166,0.023
age,4_towns,Eastford,2017,total_pop,1639,117,NA,NA
age,4_towns,Eastford,2017,ages0_17,249,51,0.152,0.029
age,4_towns,Eastford,2017,ages65plus,284,46,0.173,0.025
age,4_towns,Easton,2017,total_pop,7607,24,NA,NA
age,4_towns,Easton,2017,ages0_17,1785,244,0.235,0.032
age,4_towns,Easton,2017,ages65plus,1347,181,0.177,0.024
age,4_towns,Ellington,2017,total_pop,15948,33,NA,NA
age,4_towns,Ellington,2017,ages0_17,3661,542,0.23,0.034
age,4_towns,Ellington,2017,ages65plus,2099,352,0.132,0.022
age,4_towns,Enfield,2017,total_pop,44608,75,NA,NA
age,4_towns,Enfield,2017,ages0_17,8193,539,0.184,0.012
age,4_towns,Enfield,2017,ages65plus,7090,420,0.159,0.009
age,4_towns,Essex,2017,total_pop,6588,20,NA,NA
age,4_towns,Essex,2017,ages0_17,1054,213,0.16,0.032
age,4_towns,Essex,2017,ages65plus,2050,303,0.311,0.046
age,4_towns,Fairfield,2017,total_pop,61611,41,NA,NA
age,4_towns,Fairfield,2017,ages0_17,14791,684,0.24,0.011
age,4_towns,Fairfield,2017,ages65plus,9634,499,0.156,0.008
age,4_towns,Farmington,2017,total_pop,25596,32,NA,NA
age,4_towns,Farmington,2017,ages0_17,5365,424,0.21,0.017
age,4_towns,Farmington,2017,ages65plus,4751,360,0.186,0.014
age,4_towns,Franklin,2017,total_pop,1908,97,NA,NA
age,4_towns,Franklin,2017,ages0_17,350,58,0.183,0.029
age,4_towns,Franklin,2017,ages65plus,353,52,0.185,0.026
age,4_towns,Glastonbury,2017,total_pop,34688,34,NA,NA
age,4_towns,Glastonbury,2017,ages0_17,8075,524,0.233,0.015
age,4_towns,Glastonbury,2017,ages65plus,5831,439,0.168,0.013
age,4_towns,Goshen,2017,total_pop,2914,15,NA,NA
age,4_towns,Goshen,2017,ages0_17,505,124,0.173,0.043
age,4_towns,Goshen,2017,ages65plus,564,106,0.194,0.036
age,4_towns,Granby,2017,total_pop,11323,23,NA,NA
age,4_towns,Granby,2017,ages0_17,2628,324,0.232,0.029
age,4_towns,Granby,2017,ages65plus,1959,278,0.173,0.025
age,4_towns,Greenwich,2017,total_pop,62782,59,NA,NA
age,4_towns,Greenwich,2017,ages0_17,16183,716,0.258,0.011
age,4_towns,Greenwich,2017,ages65plus,10596,557,0.169,0.009
age,4_towns,Griswold,2017,total_pop,11791,20,NA,NA
age,4_towns,Griswold,2017,ages0_17,2869,409,0.243,0.035
age,4_towns,Griswold,2017,ages65plus,1636,282,0.139,0.024
age,4_towns,Groton,2017,total_pop,39492,37,NA,NA
age,4_towns,Groton,2017,ages0_17,7685,584,0.195,0.015
age,4_towns,Groton,2017,ages65plus,5453,391,0.138,0.01
age,4_towns,Guilford,2017,total_pop,22377,35,NA,NA
age,4_towns,Guilford,2017,ages0_17,4826,454,0.216,0.02
age,4_towns,Guilford,2017,ages65plus,5023,407,0.224,0.018
age,4_towns,Haddam,2017,total_pop,8303,19,NA,NA
age,4_towns,Haddam,2017,ages0_17,1596,277,0.192,0.033
age,4_towns,Haddam,2017,ages65plus,1643,252,0.198,0.03
age,4_towns,Hamden,2017,total_pop,61493,49,NA,NA
age,4_towns,Hamden,2017,ages0_17,10837,733,0.176,0.012
age,4_towns,Hamden,2017,ages65plus,9433,627,0.153,0.01
age,4_towns,Hampton,2017,total_pop,1829,114,NA,NA
age,4_towns,Hampton,2017,ages0_17,327,55,0.179,0.028
age,4_towns,Hampton,2017,ages65plus,330,47,0.18,0.023
